"chr" "pos" "mu1" "mu2" "diff" "diff.se" "stat" "phi1" "phi2" "pval" "fdr"
"1" "22" 10510235 0.546489456585667 0.648473745079225 -0.101984288493558 0.248000459235137 -0.411226208242074 0.0135285738345911 0.0218383697331015 0.680906672447127 0.99987446092617
"2" "22" 10510236 0.50710760964838 0.640950999507366 -0.133843389858986 0.364105589875077 -0.367594987775132 0.0166964162329859 0.0239576141969458 0.713175252726349 0.99987446092617
"3" "22" 10510275 0.285677273092832 0.385395252330032 -0.0997179792372004 0.278923844329244 -0.357509697591477 0.0129830629524452 0.281921058525902 0.720710267634297 0.99987446092617
"4" "22" 10510276 0.232625982370509 0.596226772092922 -0.363600789722413 0.283240418951207 -1.28371787850324 0.0229500696372778 0.0226621811000352 0.199240686479595 0.99987446092617
"5" "22" 10510284 0.467348766533296 0.438124099062394 0.0292246674709019 0.218534238472242 0.133730383280943 0.0130714297554524 0.0576755317068284 0.893615778570945 0.99987446092617
"6" "22" 10510285 0.5121124687529 0.927201859521292 -0.415089390768392 0.237816639146393 -1.7454177817763 0.0158440583457486 0.0270288949530085 0.0809121726368697 0.99987446092617
"7" "22" 10510338 0.361278928127681 0.63614315728348 -0.274864229155799 0.291987002432165 -0.941357755195476 0.0153556023660049 0.138675471184184 0.34652155467336 0.99987446092617
"8" "22" 10510339 0.266554199433125 0.132004610702289 0.134549588730836 0.468696535305818 0.287071865472708 0.0179687760624697 0.0270369102819875 0.774057294015529 0.99987446092617
"9" "22" 10510437 0.297124146017814 0.0465226070524056 0.250601538965408 0.158066308184959 1.58542033304257 0.0137070353155487 0.0286448511409358 0.11287086442921 0.99987446092617
"10" "22" 10510438 0.309451004331168 0.0917126079729299 0.217738396358238 0.270287938220171 0.805579404660199 0.0160974037062711 0.0282062093462755 0.420485404783434 0.99987446092617
"11" "22" 10510532 0.516628181987793 0.306008591786306 0.210619590201488 0.418669318529774 0.503069083115795 0.989475163503282 0.0247670157688617 0.614915702592148 0.99987446092617
"12" "22" 10510533 0.266554199433125 0.260080480977452 0.00647371845567296 0.596175160462461 0.0108587524019807 0.0179687760624697 0.0259648503046901 0.99133613937213 0.99987446092617
"13" "22" 10511578 0.360778211168054 0.317473000644169 0.0433052105238846 0.263793819948485 0.164163097271731 0.0166442529242774 0.0209409109115716 0.869602751044895 0.99987446092617
"14" "22" 10511579 0.110822838943535 0.11464471096622 -0.00382187202268459 0.13304514914764 -0.0287261282893034 0.020580922415723 0.0253749654236143 0.97708301760215 0.99987446092617
"15" "22" 10511696 0.464154917742907 0.326575943318112 0.137578974424796 0.191785054991212 0.717360247028109 0.014447732509157 0.0179681251609009 0.473151841749675 0.99987446092617
"16" "22" 10511697 0.465592999563225 0.430552656614258 0.0350403429489671 0.147785626466428 0.237102509809552 0.0103285449848666 0.0308105111186625 0.812577265332545 0.99987446092617
"18" "22" 10511893 0.379401454933182 0.269512748639177 0.109888706294005 0.188915885972947 0.581680602073565 0.0218193304198596 0.0837407595852315 0.560781839881871 0.99987446092617
"19" "22" 10511894 0.132916120311149 0.280060820834078 -0.147144700522929 0.223587251281552 -0.658108634009895 0.0109132396257225 0.247308253778865 0.510468328263354 0.99987446092617
"20" "22" 10512048 0.278884383577825 0.324460165327831 -0.045575781750006 0.162166753981257 -0.281042696058858 0.0330328486605138 0.0230837053916836 0.778677652261515 0.99987446092617
"21" "22" 10512049 0.530281663912768 0.379006666418303 0.151274997494465 0.197924629763205 0.764306077901717 0.0121193074846548 0.0189870584164825 0.444684864251247 0.99987446092617
"23" "22" 10512834 0.131951995377241 0.566666404422368 -0.434714409045128 0.268200802942229 -1.62085424158393 0.0181881392147538 0.0231569943671811 0.105048902372008 0.99987446092617
"24" "22" 10513853 0.266554199433125 0.795796783455134 -0.529242584022008 0.457567287420565 -1.1566442763107 0.0179687760624697 0.0218998098653666 0.247417724821249 0.99987446092617
"25" "22" 10513854 0.279981121080494 0.411965931816939 -0.131984810736445 0.228762118204659 -0.576952214694771 0.0152608624576948 0.0194094447912032 0.563971736434324 0.99987446092617
"26" "22" 10513865 0.785873241521308 0.430987015651112 0.354886225870195 0.453465581067346 0.782608957960781 0.0179687760624685 0.0242719887459388 0.433856779473943 0.99987446092617
"27" "22" 10513866 0.841631220569478 0.612241899669796 0.229389320899682 0.220308384138787 1.04121920641556 0.0150722762068025 0.0242075138453296 0.297773823766678 0.99987446092617
"28" "22" 10513907 0.175443203204225 0.304115275379355 -0.12867207217513 0.343968114399301 -0.37408139530561 0.0179687760624717 0.0230816842756858 0.708343759910753 0.99987446092617
"29" "22" 10513908 0.255549236897243 0.0597051993159414 0.195844037581302 0.213152883928046 0.918796095892433 0.0158211964708944 0.027724315663034 0.358202234916074 0.99987446092617
"30" "22" 10514368 0.758985742232424 0.707462143409563 0.0515235988228605 0.238558351540665 0.215979019347297 0.0178409554465428 0.0232389178572247 0.829004101746593 0.99987446092617
"31" "22" 10514369 0.579761736112348 0.474244063713251 0.105517672399097 0.198976198025878 0.530302988226633 0.0132747991660943 0.0170855782249864 0.595901875182941 0.99987446092617
"32" "22" 10514602 0.438620114564833 0.530771770411265 -0.0921516558464315 0.235350432027617 -0.391550825093102 0.0171199861737907 0.0186655292344228 0.695390128171838 0.99987446092617
"33" "22" 10514603 0.134442493650063 0.514365597471882 -0.37992310382182 0.404322684542571 -0.939653198661471 0.0186336325269066 0.989475163503282 0.347395478848572 0.99987446092617
"34" "22" 10514792 0.738250946115258 0.75674650448392 -0.0184955583686625 0.156913801291566 -0.117870819624689 0.0150690819657342 0.0204666398477091 0.906170014601795 0.99987446092617
"35" "22" 10514793 0.396401740682742 0.859488501056742 -0.463086760374 0.27252690953785 -1.69923315521135 0.0131056578368965 0.0259648503046901 0.0892752616531322 0.99987446092617
"36" "22" 10514811 0.692704284102803 0.675106717034845 0.017597567067958 0.165236455509587 0.106499301341749 0.0298326167623077 0.0152256671613535 0.915186209705932 0.99987446092617
"37" "22" 10514812 0.703518899234878 0.514985198733871 0.188533700501007 0.359879163267833 0.523880568102507 0.0155133442739307 0.0259648503046886 0.600361611078039 0.99987446092617
"38" "22" 10514850 0.840836377344071 0.762155905762923 0.0786804715811483 0.129554195686617 0.607317047233817 0.012869591276798 0.0275852935532146 0.543640527248134 0.99987446092617
"39" "22" 10514851 0.938562237276639 0.515230729361075 0.423331507915565 0.358111733574861 1.18212129965596 0.0185270788409691 0.0239576141969406 0.237157574070558 0.99987446092617
